date,year,month_num,month_end_short,month_end_long,day_of_month,day_of_week_num,day_of_week_eng_short,day_of_week_eng_long,quarter,is_work_day,is_holiday
2021-01-01,2021,01,Jan,January,01,5,Fri,Friday,1,False,True
2021-01-02,2021,01,Jan,January,02,6,Sat,Saturday,1,False,True
2021-01-03,2021,01,Jan,January,03,0,Sun,Sunday,1,False,True
2021-01-04,2021,01,Jan,January,04,1,Mon,Monday,1,True,False
2021-01-05,2021,01,Jan,January,05,2,Tue,Tuesday,1,True,False
2021-01-06,2021,01,Jan,January,06,3,Wed,Wednesday,1,True,False
2021-01-07,2021,01,Jan,January,07,4,Thu,Thursday,1,True,False
2021-01-08,2021,01,Jan,January,08,5,Fri,Friday,1,True,False
2021-01-09,2021,01,Jan,January,09,6,Sat,Saturday,1,False,True
2021-01-10,2021,01,Jan,January,10,0,Sun,Sunday,1,False,True
2021-01-11,2021,01,Jan,January,11,1,Mon,Monday,1,True,False
2021-01-12,2021,01,Jan,January,12,2,Tue,Tuesday,1,True,False
2021-01-13,2021,01,Jan,January,13,3,Wed,Wednesday,1,True,False
2021-01-14,2021,01,Jan,January,14,4,Thu,Thursday,1,True,False
2021-01-15,2021,01,Jan,January,15,5,Fri,Friday,1,True,False
2021-01-16,2021,01,Jan,January,16,6,Sat,Saturday,1,False,True
2021-01-17,2021,01,Jan,January,17,0,Sun,Sunday,1,False,True
2021-01-18,2021,01,Jan,January,18,1,Mon,Monday,1,True,False
2021-01-19,2021,01,Jan,January,19,2,Tue,Tuesday,1,True,False
2021-01-20,2021,01,Jan,January,20,3,Wed,Wednesday,1,True,False
2021-01-21,2021,01,Jan,January,21,4,Thu,Thursday,1,True,False
2021-01-22,2021,01,Jan,January,22,5,Fri,Friday,1,True,False
2021-01-23,2021,01,Jan,January,23,6,Sat,Saturday,1,False,True
2021-01-24,2021,01,Jan,January,24,0,Sun,Sunday,1,False,True
2021-01-25,2021,01,Jan,January,25,1,Mon,Monday,1,True,False
2021-01-26,2021,01,Jan,January,26,2,Tue,Tuesday,1,True,False
2021-01-27,2021,01,Jan,January,27,3,Wed,Wednesday,1,True,False
2021-01-28,2021,01,Jan,January,28,4,Thu,Thursday,1,True,False
2021-01-29,2021,01,Jan,January,29,5,Fri,Friday,1,True,False
2021-01-30,2021,01,Jan,January,30,6,Sat,Saturday,1,False,True
2021-01-31,2021,01,Jan,January,31,0,Sun,Sunday,1,False,True
2021-02-01,2021,02,Feb,February,01,1,Mon,Monday,1,True,False
2021-02-02,2021,02,Feb,February,02,2,Tue,Tuesday,1,True,False
2021-02-03,2021,02,Feb,February,03,3,Wed,Wednesday,1,True,False
2021-02-04,2021,02,Feb,February,04,4,Thu,Thursday,1,True,False
2021-02-05,2021,02,Feb,February,05,5,Fri,Friday,1,True,False
2021-02-06,2021,02,Feb,February,06,6,Sat,Saturday,1,False,True
2021-02-07,2021,02,Feb,February,07,0,Sun,Sunday,1,False,True
2021-02-08,2021,02,Feb,February,08,1,Mon,Monday,1,True,False
2021-02-09,2021,02,Feb,February,09,2,Tue,Tuesday,1,True,False
2021-02-10,2021,02,Feb,February,10,3,Wed,Wednesday,1,True,False
2021-02-11,2021,02,Feb,February,11,4,Thu,Thursday,1,True,False
2021-02-12,2021,02,Feb,February,12,5,Fri,Friday,1,False,True
2021-02-13,2021,02,Feb,February,13,6,Sat,Saturday,1,False,True
2021-02-14,2021,02,Feb,February,14,0,Sun,Sunday,1,False,True
2021-02-15,2021,02,Feb,February,15,1,Mon,Monday,1,False,True
2021-02-16,2021,02,Feb,February,16,2,Tue,Tuesday,1,True,False
2021-02-17,2021,02,Feb,February,17,3,Wed,Wednesday,1,True,False
2021-02-18,2021,02,Feb,February,18,4,Thu,Thursday,1,True,False
2021-02-19,2021,02,Feb,February,19,5,Fri,Friday,1,True,False
2021-02-20,2021,02,Feb,February,20,6,Sat,Saturday,1,False,True
2021-02-21,2021,02,Feb,February,21,0,Sun,Sunday,1,False,True
2021-02-22,2021,02,Feb,February,22,1,Mon,Monday,1,True,False
2021-02-23,2021,02,Feb,February,23,2,Tue,Tuesday,1,True,False
2021-02-24,2021,02,Feb,February,24,3,Wed,Wednesday,1,True,False
2021-02-25,2021,02,Feb,February,25,4,Thu,Thursday,1,True,False
2021-02-26,2021,02,Feb,February,26,5,Fri,Friday,1,True,False
2021-02-27,2021,02,Feb,February,27,6,Sat,Saturday,1,False,True
2021-02-28,2021,02,Feb,February,28,0,Sun,Sunday,1,False,True
2021-03-01,2021,03,Mar,March,01,1,Mon,Monday,1,True,False
2021-03-02,2021,03,Mar,March,02,2,Tue,Tuesday,1,True,False
2021-03-03,2021,03,Mar,March,03,3,Wed,Wednesday,1,True,False
2021-03-04,2021,03,Mar,March,04,4,Thu,Thursday,1,True,False
2021-03-05,2021,03,Mar,March,05,5,Fri,Friday,1,True,False
2021-03-06,2021,03,Mar,March,06,6,Sat,Saturday,1,False,True
2021-03-07,2021,03,Mar,March,07,0,Sun,Sunday,1,False,True
2021-03-08,2021,03,Mar,March,08,1,Mon,Monday,1,True,False
2021-03-09,2021,03,Mar,March,09,2,Tue,Tuesday,1,True,False
2021-03-10,2021,03,Mar,March,10,3,Wed,Wednesday,1,True,False
2021-03-11,2021,03,Mar,March,11,4,Thu,Thursday,1,True,False
2021-03-12,2021,03,Mar,March,12,5,Fri,Friday,1,True,False
2021-03-13,2021,03,Mar,March,13,6,Sat,Saturday,1,False,True
2021-03-14,2021,03,Mar,March,14,0,Sun,Sunday,1,False,True
2021-03-15,2021,03,Mar,March,15,1,Mon,Monday,1,True,False
2021-03-16,2021,03,Mar,March,16,2,Tue,Tuesday,1,True,False
2021-03-17,2021,03,Mar,March,17,3,Wed,Wednesday,1,True,False
2021-03-18,2021,03,Mar,March,18,4,Thu,Thursday,1,True,False
2021-03-19,2021,03,Mar,March,19,5,Fri,Friday,1,True,False
2021-03-20,2021,03,Mar,March,20,6,Sat,Saturday,1,False,True
2021-03-21,2021,03,Mar,March,21,0,Sun,Sunday,1,False,True
2021-03-22,2021,03,Mar,March,22,1,Mon,Monday,1,True,False
2021-03-23,2021,03,Mar,March,23,2,Tue,Tuesday,1,True,False
2021-03-24,2021,03,Mar,March,24,3,Wed,Wednesday,1,True,False
2021-03-25,2021,03,Mar,March,25,4,Thu,Thursday,1,True,False
2021-03-26,2021,03,Mar,March,26,5,Fri,Friday,1,True,False
2021-03-27,2021,03,Mar,March,27,6,Sat,Saturday,1,False,True
2021-03-28,2021,03,Mar,March,28,0,Sun,Sunday,1,False,True
2021-03-29,2021,03,Mar,March,29,1,Mon,Monday,1,True,False
2021-03-30,2021,03,Mar,March,30,2,Tue,Tuesday,1,True,False
2021-03-31,2021,03,Mar,March,31,3,Wed,Wednesday,1,True,False
2021-04-01,2021,04,Apr,April,01,4,Thu,Thursday,2,True,False
2021-04-02,2021,04,Apr,April,02,5,Fri,Friday,2,False,True
2021-04-03,2021,04,Apr,April,03,6,Sat,Saturday,2,False,True
2021-04-04,2021,04,Apr,April,04,0,Sun,Sunday,2,False,True
2021-04-05,2021,04,Apr,April,05,1,Mon,Monday,2,False,True
2021-04-06,2021,04,Apr,April,06,2,Tue,Tuesday,2,False,True
2021-04-07,2021,04,Apr,April,07,3,Wed,Wednesday,2,True,False
2021-04-08,2021,04,Apr,April,08,4,Thu,Thursday,2,True,False
2021-04-09,2021,04,Apr,April,09,5,Fri,Friday,2,True,False
2021-04-10,2021,04,Apr,April,10,6,Sat,Saturday,2,False,True
2021-04-11,2021,04,Apr,April,11,0,Sun,Sunday,2,False,True
2021-04-12,2021,04,Apr,April,12,1,Mon,Monday,2,True,False
2021-04-13,2021,04,Apr,April,13,2,Tue,Tuesday,2,True,False
2021-04-14,2021,04,Apr,April,14,3,Wed,Wednesday,2,True,False
2021-04-15,2021,04,Apr,April,15,4,Thu,Thursday,2,True,False
2021-04-16,2021,04,Apr,April,16,5,Fri,Friday,2,True,False
2021-04-17,2021,04,Apr,April,17,6,Sat,Saturday,2,False,True
2021-04-18,2021,04,Apr,April,18,0,Sun,Sunday,2,False,True
2021-04-19,2021,04,Apr,April,19,1,Mon,Monday,2,True,False
2021-04-20,2021,04,Apr,April,20,2,Tue,Tuesday,2,True,False
2021-04-21,2021,04,Apr,April,21,3,Wed,Wednesday,2,True,False
2021-04-22,2021,04,Apr,April,22,4,Thu,Thursday,2,True,False
2021-04-23,2021,04,Apr,April,23,5,Fri,Friday,2,True,False
2021-04-24,2021,04,Apr,April,24,6,Sat,Saturday,2,False,True
2021-04-25,2021,04,Apr,April,25,0,Sun,Sunday,2,False,True
2021-04-26,2021,04,Apr,April,26,1,Mon,Monday,2,True,False
2021-04-27,2021,04,Apr,April,27,2,Tue,Tuesday,2,True,False
2021-04-28,2021,04,Apr,April,28,3,Wed,Wednesday,2,True,False
2021-04-29,2021,04,Apr,April,29,4,Thu,Thursday,2,True,False
2021-04-30,2021,04,Apr,April,30,5,Fri,Friday,2,True,False
2021-05-01,2021,05,May,May,01,6,Sat,Saturday,2,False,True
2021-05-02,2021,05,May,May,02,0,Sun,Sunday,2,False,True
2021-05-03,2021,05,May,May,03,1,Mon,Monday,2,True,False
2021-05-04,2021,05,May,May,04,2,Tue,Tuesday,2,True,False
2021-05-05,2021,05,May,May,05,3,Wed,Wednesday,2,True,False
2021-05-06,2021,05,May,May,06,4,Thu,Thursday,2,True,False
2021-05-07,2021,05,May,May,07,5,Fri,Friday,2,True,False
2021-05-08,2021,05,May,May,08,6,Sat,Saturday,2,False,True
2021-05-09,2021,05,May,May,09,0,Sun,Sunday,2,False,True
2021-05-10,2021,05,May,May,10,1,Mon,Monday,2,True,False
2021-05-11,2021,05,May,May,11,2,Tue,Tuesday,2,True,False
2021-05-12,2021,05,May,May,12,3,Wed,Wednesday,2,True,False
2021-05-13,2021,05,May,May,13,4,Thu,Thursday,2,True,False
2021-05-14,2021,05,May,May,14,5,Fri,Friday,2,True,False
2021-05-15,2021,05,May,May,15,6,Sat,Saturday,2,False,True
2021-05-16,2021,05,May,May,16,0,Sun,Sunday,2,False,True
2021-05-17,2021,05,May,May,17,1,Mon,Monday,2,True,False
2021-05-18,2021,05,May,May,18,2,Tue,Tuesday,2,True,False
2021-05-19,2021,05,May,May,19,3,Wed,Wednesday,2,False,True
2021-05-20,2021,05,May,May,20,4,Thu,Thursday,2,True,False
2021-05-21,2021,05,May,May,21,5,Fri,Friday,2,True,False
2021-05-22,2021,05,May,May,22,6,Sat,Saturday,2,False,True
2021-05-23,2021,05,May,May,23,0,Sun,Sunday,2,False,True
2021-05-24,2021,05,May,May,24,1,Mon,Monday,2,True,False
2021-05-25,2021,05,May,May,25,2,Tue,Tuesday,2,True,False
2021-05-26,2021,05,May,May,26,3,Wed,Wednesday,2,True,False
2021-05-27,2021,05,May,May,27,4,Thu,Thursday,2,True,False
2021-05-28,2021,05,May,May,28,5,Fri,Friday,2,True,False
2021-05-29,2021,05,May,May,29,6,Sat,Saturday,2,False,True
2021-05-30,2021,05,May,May,30,0,Sun,Sunday,2,False,True
2021-05-31,2021,05,May,May,31,1,Mon,Monday,2,True,False
